"","V1","V2"
"1","Heating","184327"
"2","Kitchen","240923"
"3","Washer","185073"
"4","Wifi","260090"
"5","Long term stays allowed","241054"
"6","Shampoo","174082"
"7","Essentials","253532"
"8","Dryer","93512"
"9","TV","213037"
"10","Hair dryer","188724"
"11","Bathtub","19144"
"12","Elevator","101582"
"13","Cable TV","62676"
"14","Smoke alarm","156467"
"15","Fire extinguisher","95920"
"16","Paid parking off premises","35150"
"17","Iron","187756"
"18","Hot water","165163"
"19","Hangers","211356"
"20","Dedicated workspace","179267"
"21","Host greets you","51314"
"22","Carbon monoxide alarm","78479"
"23","Dishwasher","45148"
"24","Stove","91970"
"25","Refrigerator","123259"
"26","Oven","83273"
"27","Dishes and silverware","123394"
"28","Coffee maker","88242"
"29","Cooking basics","110255"
"30","Garden or backyard","29205"
"31","Bed linens","100486"
"32","Cleaning before checkout","12794"
"33","Indoor fireplace","17386"
"34","Breakfast","34496"
"35","First aid kit","82295"
"36","Air conditioning","142693"
"37","Luggage dropoff allowed","56291"
"38","Microwave","100470"
"39","Single level home","18233"
"40","Patio or balcony","50323"
"41","Extra pillows and blankets","63118"
"42","Private entrance","70280"
"43","Pocket wifi","10999"
"44","Ethernet connection","16980"
"45","Pack u2019n Playtravel crib","12446"
"46","Lockbox","20745"
"47","Free street parking","57792"
"48","Pourover coffee","2874"
"49","Cleaning products","3928"
"50","Clothing storage closet","637"
"51","Hot water kettle","4510"
"52","Freezer","9735"
"53","Drying rack for clothing","3027"
"54","Laundromat nearby","7840"
"55","Shower gel","23847"
"56","Table corner guards","1068"
"57","Outlet covers","2682"
"58","Childrenu2019s books and toys","11789"
"59","Childrenu2019s dinnerware","5842"
"60","Changing table","2880"
"61","Crib","14718"
"62","High chair","12486"
"63","Baby bath","3816"
"64","Bread maker","2494"
"65","Babysitter recommendations","6164"
"66","Hot tub","13148"
"67","Building staff","17051"
"68","Game console","2766"
"69","Keypad","6473"
"70","Piano","654"
"71","Nespresso machine","3921"
"72","Conditioner","5604"
"73","Portable fans","5323"
"74","Free parking on premises","72998"
"75","Paid parking on premises","10516"
"76","BBQ grill","14040"
"77","Gym","30256"
"78","Baking sheet","8587"
"79","Pool","37230"
"80","Sound system","1905"
"81","Window guards","7367"
"82","Bedroom comforts","1883"
"83","Bathroom essentials","1883"
"84","Full kitchen","1514"
"85","Roomdarkening shades","20251"
"86","Body soap","9609"
"87","HDTV with Netflix Amazon Prime Video Chromecast","3"
"88","Rice maker","1168"
"89","Bose Bluetooth sound system","12"
"90","Waterfront","3803"
"91","Lake access","1313"
"92","Hermes body soap","1"
"93","EV charger","1374"
"94","Smart lock","4697"
"95","Fireplace guards","1460"
"96","Bluetooth sound system","141"
"97","Paid street parking off premises","677"
"98","Beach essentials","4308"
"99","Baby monitor","855"
"100","Baby safety gates","2112"
"101","Barbecue utensils","4643"
"102","Clothing storage","2669"
"103","Wine glasses","3613"
"104","Dining table","3934"
"105","Mini fridge","3724"
"106","Toaster","2879"
"107","TV with Netflix","133"
"108","Free washeru2013In unit","397"
"109","Lu00e9a Nature Karitu00e9 shampoo","1"
"110","Portable heater","403"
"111","Paid parking garage on premises u2013 EUR20 per day 1 space","1"
"112","Central heating","596"
"113","Savon de marseille body soap","2"
"114","Pioneer Bluetooth sound system","2"
"115","Siemens oven","2"
"116","Siemens stainless steel oven","4"
"117","Ru00e9frigerateur congu00e9lateur marque Siemens refrigerator","1"
"118","plaque de cuisson 5 feux marque Neff gas stove","1"
"119","Washer u2013u00a0In unit","1027"
"120","Sound system with aux","69"
"121","Denon  Megaboom sound system with Bluetooth and aux","1"
"122","TV with Netflix Amazon Prime Video Chromecast standard cable","1"
"123","Game console Nintendo Wii","6"
"124","Portable air conditioning","139"
"125","Outdoor furniture","1390"
"126","Beachfront","7119"
"127","Self checkin","918"
"128","IKEA refrigerator","1"
"129","Savon de Marseille body soap","3"
"130","Dryer u2013u00a0In unit","514"
"131","Bidet","662"
"132","Gas stove","521"
"133","HDTV with Netflix","194"
"134","De Dietrich stainless steel oven","1"
"135","Samsung refrigerator","70"
"136","Dedicated workspace table","185"
"137","Stainless steel oven","512"
"138","Clothing storage wardrobe and dresser","37"
"139","Paid parking garage off premises","439"
"140","SkiinSkiout","271"
"141","Wifi u2013 1000 Mbps","27"
"142","ROSIERES electric stove","1"
"143","Moulinex oven","1"
"144","Proline refrigerator","2"
"145","real soap from Aleppo body soap","1"
"146","Radiant heating","176"
"147","Garnier shampoo","2"
"148","Record player","422"
"149","Window AC unit","449"
"150","Keurig coffee machine","501"
"151","Electric stove","415"
"152","Ceiling fan","3065"
"153","TV with Netflix HBO Max Amazon Prime Video","4"
"154","Stainless steel electric stove","137"
"155","Washer u2013u00a0In building","488"
"156","Paid parking lot off premises","391"
"157","2 bocas electric stove","2"
"158","HDTV","225"
"159","Dryer u2013 In building","430"
"160","Sauna","178"
"161","Mosquito net","440"
"162","Safe","1559"
"163","Smoking allowed","117"
"164","Paid parking lot on premises u2013 1 space","56"
"165","HDTV with Apple TV Netflix","5"
"166","Private hot tub","61"
"167","Paid parking garage on premises","111"
"168","Defy refrigerator","23"
"169","42","101"
"170","Clothing storage wardrobe","563"
"171","32","268"
"172","Suitable for events","48"
"173","Wifi u2013 20 Mbps","90"
"174","TV with standard cable","69"
"175","43","70"
"176","75","7"
"177","Free dryeru2013In unit","165"
"178","Clothing storage dresser and closet","72"
"179","35","3"
"180","Defy electric stove","2"
"181","Defy oven","5"
"182","Kitchenette","61"
"183","Salvatore Ferragamo body soap","1"
"184","55","93"
"185","TV with Netflix standard cable","6"
"186","Wifi u2013 150 Mbps","12"
"187","Clothing storage wardrobe and closet","50"
"188","Free parking garage on premises u2013 1 space","145"
"189","Dedicated workspace desk and table","21"
"190","Trash compactor","586"
"191","Clothing storage dresser","66"
"192","Paid valet parking on premises u2013 400 spaces","1"
"193","Wifi u2013 16 Mbps","26"
"194","52","8"
"195","Teca oven","1"
"196","Teca stainless steel gas stove","1"
"197","Board games","513"
"198","Sonos Bluetooth sound system","38"
"199","Samsung Side by Side refrigerator","1"
"200","Stainless steel gas stove","375"
"201","Dedicated workspace desk office chair and table","7"
"202","Wifi u2013 10 Mbps","85"
"203","Harman Kardon sound system with aux","2"
"204","Bikes","215"
"205","Outdoor dining area","996"
"206","Free residential garage on premises u2013 1 space","131"
"207","Central air conditioning","455"
"208","Shared gym in building","80"
"209","Wifi u2013 100 Mbps","128"
"210","Dedicated workspace office chair monitor and desk","3"
"211","Clothing storage walkin closet","75"
"212","HDTV with premium cable","33"
"213","Consul com pequeno congelador acoplado refrigerator","1"
"214","Free parking on premises u2013 1 space","36"
"215","Induction stove","295"
"216","Tresemme conditioner","4"
"217","Miele stainless steel oven","13"
"218","HDTV with Amazon Prime Video Chromecast Netflix","1"
"219","Miele gas stove","1"
"220","Pioneer sound system with aux","3"
"221","TV with Apple TV Netflix","4"
"222","Private fenced garden or backyard","80"
"223","40","112"
"224","Dedicated workspace desk","126"
"225","Stainless steel induction stove","27"
"226","Pool table","126"
"227","Ping pong table","131"
"228","Shared garden or backyard","115"
"229","Puracy plant based shampoo","1"
"230","Puracy plant based conditioner","1"
"231","Puracy plant based  body soap","1"
"232","Molton Brown conditioner","3"
"233","Molton Brown body soap","2"
"234","Wifi u2013 15 Mbps","34"
"235","Free driveway parking on premises u2013 1 space","125"
"236","Paid parking garage off premises u2013 EUR4 per hour","1"
"237","Stainless steel stove","44"
"238","cooktop gas stove","3"
"239","Clothing storage closet and dresser","72"
"240","Private garden or backyard","59"
"241","The botanist shampoo","1"
"242","lactovit body soap","1"
"243","head  shoulders conditioner","1"
"244","Whirlpool stainless steel gas stove","4"
"245","Wifi u2013 40 Mbps","15"
"246","Shared fenced garden or backyard","78"
"247","Dove pink bath bar body soap","1"
"248","Dedicated workspace table office chair and desk","11"
"249","Wifi u2013 35 Mbps","48"
"250","Pets allowed","268"
"251","Sholtes stainless steel gas stove","1"
"252","Lieberer refrigerator","1"
"253","SMEG stainless steel oven","16"
"254","For sensitive skin body soap","1"
"255","Free residential garage on premises u2013 3 spaces","13"
"256","LG stainless steel gas stove","1"
"257","LG stainless steel oven","3"
"258","Paid washeru2013In building","118"
"259","Consul gas stove","1"
"260","Shared sauna","120"
"261","46","7"
"262","Wifi u2013 120 Mbps","62"
"263","Clothing storage dresser closet and wardrobe","10"
"264","Prince body soap","1"
"265","60","18"
"266","occitaine conditioner","1"
"267","sonos Bluetooth sound system","5"
"268","occitaine body soap","1"
"269","Shared outdoor pool","97"
"270","20","3"
"271","Sony sound system with Bluetooth and aux","7"
"272","Wifi u2013 200 Mbps","73"
"273","Clothing storage wardrobe and walkin closet","11"
"274","Clothing storage wardrobe dresser and closet","17"
"275","Free parking garage on premises","77"
"276","single hob plate  stove","1"
"277","Wifi u2013 140 Mbps","1"
"278","Free washeru2013In building","62"
"279","Free dryeru2013In building","48"
"280","Wifi u2013 22 Mbps","3"
"281","ariston stainless steel gas stove","2"
"282","Clothing storage closet and wardrobe","66"
"283","Free washer","16"
"284","Paid parking garage on premises u2013 EUR20 per day 100 spaces","1"
"285","Ariston refrigerator","2"
"286","Ariston stainless steel gas stove","2"
"287","Wifi u2013 50 Mbps","97"
"288","Wifi u2013 33 Mbps","1"
"289","51","1"
"290","Alexa Bluetooth sound system","9"
"291","brastemp stainless steel gas stove","2"
"292","Boat slip","18"
"293","Paid parking lot on premises","100"
"294","TV with Roku","6"
"295","SONY sound system with Bluetooth and aux","2"
"296","BRASTEMP refrigerator","3"
"297","Mabe stainless steel gas stove","13"
"298","Dove conditioner","8"
"299","Head and shoulders shampoo","1"
"300","92","1"
"301","AESOPS body soap","1"
"302","Aesops shampoo","1"
"303","Aesops conditioner","1"
"304","64","1"
